input_address,output_address,output_bits,row_bdm,network_program_bits
0,0,0000000000,22.784225562763474,325
1,34,0100010000,24.48264512432168,325
2,4,0010000000,25.405541011011785,325
3,38,0110010000,26.834178367432237,325
4,0,0000000000,22.784225562763474,325
5,42,0101010000,25.047564596301104,325
6,4,0010000000,25.405541011011785,325
7,46,0111010000,26.983048281866,325
8,80,0000101000,26.098414518475785,325
9,114,0100111000,28.367231276903585,325
10,84,0010101000,26.163898016889704,325
11,118,0110111000,28.781110450113868,325
12,80,0000101000,26.098414518475785,325
13,122,0101111000,28.61401855597312,325
14,84,0010101000,26.163898016889704,325
15,126,0111111000,28.13938629953209,325
16,32,0000010000,24.57824374198081,325
17,2,0100000000,24.48783255998325,325
18,36,0010010000,26.163898016889704,325
19,6,0110000000,25.775476890355222,325
20,32,0000010000,24.57824374198081,325
21,10,0101000000,24.142450826212958,325
22,36,0010010000,26.163898016889704,325
23,14,0111000000,25.972432864621066,325
24,112,0000111000,26.885222791763344,325
25,82,0100101000,26.491025018451385,325
26,116,0010111000,29.045998624324646,325
27,86,0110101000,27.76327431216157,325
28,112,0000111000,26.885222791763344,325
29,90,0101101000,27.69514679613648,325
30,116,0010111000,29.045998624324646,325
31,94,0111101000,28.72212413513873,325
32,65,1000001000,26.43211239030269,325
33,99,1100011000,28.80917023331914,325
34,69,1010001000,26.884289713122936,325
35,103,1110011000,28.80445553944709,325
36,65,1000001000,26.43211239030269,325
37,107,1101011000,27.966825034147647,325
38,69,1010001000,26.884289713122936,325
39,111,1111011000,27.870673442636658,325
40,81,1000101000,27.55442379881093,325
41,115,1100111000,29.145335565863277,325
42,85,1010101000,25.3451309020149,325
43,119,1110111000,28.256843881080265,325
44,81,1000101000,27.55442379881093,325
45,123,1101111000,28.277929175489405,325
46,85,1010101000,25.3451309020149,325
47,127,1111111000,26.996428345690045,325
48,97,1000011000,27.662252679161334,325
49,67,1100001000,28.342245190336484,325
50,101,1010011000,28.694601456859193,325
51,71,1110001000,28.256843881080265,325
52,97,1000011000,27.662252679161334,325
53,75,1101001000,28.241627972187704,325
54,101,1010011000,28.694601456859193,325
55,79,1111001000,28.43029539378935,325
56,113,1000111000,28.72657690114536,325
57,83,1100101000,27.810351318150467,325
58,117,1010111000,27.982049761784,325
59,87,1110101000,27.723236038886174,325
60,113,1000111000,28.72657690114536,325
61,91,1101101000,27.736084908304218,325
62,117,1010111000,27.982049761784,325
63,95,1111101000,28.495292648635786,325
64,640,0000000101,26.21440278089226,325
65,674,0100010101,25.98771720193085,325
66,644,0010000101,26.58770572579628,325
67,678,0110010101,26.513452017754627,325
68,640,0000000101,26.21440278089226,325
69,682,0101010101,23.938462473742863,325
70,644,0010000101,26.58770572579628,325
71,686,0111010101,26.204469910459483,325
72,720,0000101101,26.236856098903758,325
73,754,0100111101,27.15205794684215,325
74,724,0010101101,25.856879376680066,325
75,758,0110111101,27.533304821943947,325
76,720,0000101101,26.236856098903758,325
77,762,0101111101,27.458256363512504,325
78,724,0010101101,25.856879376680066,325
79,766,0111111101,25.795510610909684,325
80,672,0000010101,25.508171810413195,325
81,642,0100000101,27.458256363512504,325
82,676,0010010101,26.479236302416716,325
83,646,0110000101,28.493394365413376,325
84,672,0000010101,25.508171810413195,325
85,650,0101000101,26.668932453298776,325
86,676,0010010101,26.479236302416716,325
87,654,0111000101,28.53086907083204,325
88,752,0000111101,27.80622174457389,325
89,722,0100101101,26.51249054151718,325
90,756,0010111101,27.719902895222052,325
91,726,0110101101,26.856879376680066,325
92,752,0000111101,27.80622174457389,325
93,730,0101101101,26.0520980869863,325
94,756,0010111101,27.719902895222052,325
95,734,0111101101,27.547513853828264,325
96,705,1000001101,28.065608373392543,325
97,739,1100011101,28.603742906828234,325
98,709,1010001101,27.901178163557077,325
99,743,1110011101,28.116561865186043,325
100,705,1000001101,28.065608373392543,325
101,747,1101011101,27.27507275671264,325
102,709,1010001101,27.901178163557077,325
103,751,1111011101,24.48264512432168,325
104,721,1000101101,27.167487987411757,325
105,755,1100111101,27.68049451066382,325
106,725,1010101101,25.927207691057642,325
107,759,1110111101,26.529652735677878,325
108,721,1000101101,27.167487987411757,325
109,763,1101111101,26.877156088797978,325
110,725,1010101101,25.927207691057642,325
111,767,1111111101,24.48783255998325,325
112,737,1000011101,28.459645574058833,325
113,707,1100001101,28.73889334804819,325
114,741,1010011101,27.181937874038066,325
115,711,1110001101,28.367231276903585,325
116,737,1000011101,28.459645574058833,325
117,715,1101001101,27.77937470291325,325
118,741,1010011101,27.181937874038066,325
119,719,1111001101,27.373327793845558,325
120,753,1000111101,27.724905502957775,325
121,723,1100101101,27.12021888879413,325
122,757,1010111101,27.00316520145676,325
123,727,1110101101,26.491025018451385,325
124,753,1000111101,27.724905502957775,325
125,731,1101101101,25.79390347666583,325
126,757,1010111101,27.00316520145676,325
127,735,1111101101,26.423953866915525,325
128,257,1000000010,25.795510610909684,325
129,291,1100010010,28.001478035972823,325
130,261,1010000010,27.458256363512504,325
131,295,1110010010,27.659057340001524,325
132,257,1000000010,25.795510610909684,325
133,299,1101010010,25.856879376680066,325
134,261,1010000010,27.458256363512504,325
135,303,1111010010,26.236856098903758,325
136,337,1000101010,26.204469910459483,325
137,371,1100111010,27.457793590440083,325
138,341,1010101010,23.938462473742863,325
139,375,1110111010,26.884289713122936,325
140,337,1000101010,26.204469910459483,325
141,379,1101111010,26.58770572579628,325
142,341,1010101010,23.938462473742863,325
143,383,1111111010,26.21440278089226,325
144,289,1000010010,27.547513853828264,325
