PatientID,D_normal,D_tumor,Delta_D,D_tumor_null_mean,Delta_D_null_mean
TCGA-BR-0000,46.52173688921984,42.778311246113105,-3.7434256431067325,40.51516103202646,-6.006575857193376
TCGA-BR-0001,46.52173688921984,45.15031576597095,-1.3714211232488864,45.03969434561679,-1.4820425436030504
TCGA-BR-0002,46.52173688921984,45.66481856803438,-0.8569183211854607,44.03874023247023,-2.482996656749606
TCGA-BR-0003,46.52173688921984,43.319931617800485,-3.201805271419353,43.57732943293828,-2.94440745628156
TCGA-BR-0004,46.52173688921984,43.48275289481169,-3.0389839944081487,41.12671693656488,-5.395019952654955
TCGA-BR-0005,46.52173688921984,43.21612836905129,-3.3056085201685477,44.25600738752465,-2.2657295016951906
TCGA-BR-0006,46.52173688921984,42.778311246113105,-3.7434256431067325,40.856139355572886,-5.665597533646952
TCGA-BR-0007,46.52173688921984,44.61598108086224,-1.905755808357597,44.3349581673852,-2.186778721834635
TCGA-BR-0008,46.52173688921984,46.52173688921984,0.0,43.646816930132985,-2.874919959086853
TCGA-BR-0009,46.52173688921984,47.24133965912286,0.7196027699030196,46.43747328707384,-0.08426360214599526
TCGA-BR-0010,46.52173688921984,46.52173688921984,0.0,43.84498108168669,-2.676755807533148
TCGA-BR-0011,46.52173688921984,41.70665460513762,-4.815082284082216,41.72657425248121,-4.795162636738631
TCGA-BR-0012,46.52173688921984,45.10259942342087,-1.4191374657989684,43.53797754146404,-2.9837593477558
TCGA-BR-0013,46.52173688921984,47.24133965912286,0.7196027699030196,46.71295817621092,0.19122128699108032
TCGA-BR-0014,46.52173688921984,48.67669049440173,2.1549536051818947,46.25679658815194,-0.26494030106789523
TCGA-BR-0015,46.52173688921984,44.408079676823604,-2.113657212396234,43.07961667268951,-3.442120216530327
TCGA-BR-0016,46.52173688921984,42.96801338305323,-3.5537235061666053,42.05200095537244,-4.469735933847396
TCGA-BR-0017,46.52173688921984,46.37473878454006,-0.14699810467978125,46.58083178868221,0.05909489946237301
TCGA-BR-0018,46.52173688921984,44.2400868052187,-2.281650084001136,42.885401707287244,-3.636335181932594
TCGA-BR-0019,46.52173688921984,44.379166984908366,-2.142569904311472,45.37539433388655,-1.146342555333291
TCGA-BR-0020,46.52173688921984,42.389485875244674,-4.132251013975164,41.20083249804914,-5.3209043911707
TCGA-BR-0021,46.52173688921984,47.72797099934543,1.2062341101255925,47.195733407313924,0.6739965180940857
TCGA-BR-0022,46.52173688921984,39.20420418571577,-7.317532703504071,41.07081234891318,-5.450924540306659
TCGA-BR-0023,46.52173688921984,44.2400868052187,-2.281650084001136,43.3768688555605,-3.1448680336593355
TCGA-BR-0024,46.52173688921984,43.319931617800485,-3.201805271419353,43.63698509344215,-2.8847517957776887
TCGA-BR-0025,46.52173688921984,46.52173688921984,0.0,44.2582505930499,-2.263486296169937
TCGA-BR-0026,46.52173688921984,39.9026247362202,-6.619112152999641,40.92643908179585,-5.595297807423989
TCGA-BR-0027,46.52173688921984,43.48275289481169,-3.0389839944081487,41.940297076563155,-4.581439812656683
TCGA-BR-0028,46.52173688921984,44.7888305649174,-1.7329063243024407,41.57525725176463,-4.946479637455205
TCGA-BR-0029,46.52173688921984,43.461894370772725,-3.0598425184471125,42.0023465245527,-4.519390364667139
